Name,Price,24H_Change,24H_Volume,Market_Cap
Bitcoin,"$16,967.76",-0.90%,$21.5 B,$323.84 B
Ethereum,"$1,246.29",-1.81%,$6.12 B,$150.9 B
Tether,$1.02,-0.00%,$27.63 B,$65.69 B
BNB,$287.53,-1.80%,$763.09 M,$45.36 B
USD Coin,$1.00,-0.00%,$2.42 B,$43.08 B
Binance USD,$1.00,-0.03%,$5.95 B,$22.06 B
XRP,$0.3883,-1.46%,$881.34 M,$19.25 B
Dogecoin,$0.09736,-3.91%,$670.22 M,$12.75 B
Cardano,$0.3153,-1.89%,$207.5 M,$10.72 B
Polygon,$0.8995,-2.16%,$307.83 M,$7.75 B
Polkadot,$5.40,-2.88%,$203.44 M,$6.09 B
Dai,$1.01,+0.02%,$228.12 M,$5.87 B
Litecoin,$77.86,-3.45%,$615.16 M,$5.51 B
Wrapped TRON,$0.05323,-0.07%,$1.99 M,$5.41 B
Shiba Inu,$0.000009282,-2.72%,$119.78 M,$5 B
Solana,$14.30,-2.34%,$240.43 M,$4.99 B
TRON,$0.05313,-0.06%,$207.49 M,$4.89 B
HEX,$0.02813,-2.77%,$2.31 M,$4.88 B
Uniswap,$6.11,-3.40%,$89.55 M,$4.57 B
Lido stETH,"$1,220.51",-0.15%,$8.64 M,$4.26 B
Avalanche,$13.42,-2.68%,$150.57 M,$4.11 B
UNUS SED LEO,$3.79,-2.23%,$2.74 M,$3.62 B
Chainlink,$6.94,-5.46%,$292.07 M,$3.48 B
Wrapped Bitcoin,"$17,040.38",-0.71%,$71.25 M,$3.36 B
Cosmos,$9.80,-4.60%,$149.12 M,$2.76 B
Ethereum Classic,$19.19,-2.89%,$98.67 M,$2.61 B
Monero,$143.10,+0.10%,$62.16 M,$2.61 B
Toncoin,$1.86,+3.71%,$17.35 M,$2.28 B
Stellar,$0.08615,-1.33%,$43.36 M,$2.18 B
Bitcoin Cash,$111.18,-1.69%,$156.86 M,$2.11 B
Cronos,$0.06479,-2.80%,$46.63 M,$1.63 B
Algorand,$0.2264,-4.96%,$66.97 M,$1.58 B
Filecoin,$4.47,-4.80%,$114.11 M,$1.45 B
NEAR Protocol,$1.73,-3.02%,$107.16 M,$1.42 B
ApeCoin,$3.98,-5.21%,$186.39 M,$1.42 B
Quant,$118.55,-6.11%,$31.8 M,$1.4 B
VeChain,$0.01933,-2.00%,$27.94 M,$1.36 B
OKB,$20.71,-2.33%,$12.96 M,$1.24 B
Internet Computer,$4.30,-5.66%,$23.25 M,$1.16 B
Wrapped BNB,$284.33,-1.51%,$62.08 M,$1.08 B
Flow,$1.07,-4.88%,$37.66 M,$1.08 B
Hedera,$0.04943,-2.29%,$13.3 M,$1.08 B
EOS,$1.01,+3.04%,$199.04 M,$1.07 B
Elrond,$45.91,+2.49%,$48.55 M,$1.07 B
Frax,$0.9927,+0.05%,$6.57 M,$1.01 B
Trust Wallet Token,$2.38,+2.57%,$47.1 M,$990.55 M
Luna Classic,$0.0001781,-3.94%,$87.68 M,$989.48 M
Huobi Token,$6.31,-5.01%,$15.53 M,$968.3 M
Pax Dollar,$1,+0.01%,"$994,838",$945.61 M
Chiliz,$0.1548,-5.74%,$141.89 M,$934.92 M
